Date,バス
2008-02-01,4.3
2008-03-01,-0.5
2008-04-01,-8.1
2008-05-01,5.6
2008-06-01,-6.2
2008-07-01,3.2
2008-08-01,-5.1
2008-09-01,2.4
2008-10-01,-13.7
2008-11-01,-4.3
2008-12-01,4.5
2009-01-01,-11.9
2009-02-01,-27.6
2009-03-01,-12.6
2009-04-01,5.3
2009-05-01,10.5
2009-06-01,8.8
2009-07-01,10.3
2009-08-01,8.3
2009-09-01,10.5
2009-10-01,-4.4
2009-11-01,5.4
2009-12-01,-11.3
2010-01-01,8.1
2010-02-01,1.6
2010-03-01,9.5
2010-04-01,21.7
2010-05-01,-12.1
2010-06-01,-8.2
2010-07-01,-5.4
2010-08-01,-23.3
2010-09-01,12.1
2010-10-01,7.4
2010-11-01,13
2010-12-01,8
2011-01-01,-0.5
2011-02-01,-4.6
2011-03-01,-52.3
2011-04-01,-40.4
2011-05-01,91.3
2011-06-01,96.3
2011-07-01,4.1
2011-08-01,-4.4
2011-09-01,-7.5
2011-10-01,8.5
2011-11-01,-6.3
2011-12-01,4
2012-01-01,1.9
2012-02-01,-5.9
2012-03-01,6.1
2012-04-01,13.6
2012-05-01,-14.3
2012-06-01,-2.1
2012-07-01,-6
2012-08-01,5.3
2012-09-01,8.3
2012-10-01,-2
2012-11-01,0.8
2012-12-01,-4.1
2013-01-01,5.1
2013-02-01,3.1
2013-03-01,-5.1
2013-04-01,12.5
2013-05-01,-4.7
2013-06-01,-2.4
2013-07-01,-2.8
2013-08-01,2.6
2013-09-01,-2.2
2013-10-01,-4.6
2013-11-01,0.6
2013-12-01,-0.5
2014-01-01,9.5
2014-02-01,-3.1
2014-03-01,0.4
2014-04-01,0.3
2014-05-01,0
2014-06-01,1.4
2014-07-01,6.2
2014-08-01,-10.8
2014-09-01,4.5
2014-10-01,8.2
2014-11-01,-8.9
2014-12-01,3.1
2015-01-01,-5.2
2015-02-01,5.3
2015-03-01,7.2
2015-04-01,11
2015-05-01,-2.4
2015-06-01,-5
2015-07-01,-0.1
2015-08-01,-9.7
