Date,持家の帰属家賃及び生鮮食品を除く総合
2013-02-01,99.2
2013-03-01,99.6
2013-04-01,99.9
2013-05-01,100.2
2013-06-01,100.2
2013-07-01,100.3
2013-08-01,100.7
2013-09-01,100.8
2013-10-01,101
2013-11-01,101
2013-12-01,101
2014-01-01,100.7
2014-02-01,100.8
2014-03-01,101.2
2014-04-01,103.8
2014-05-01,104.3
2014-06-01,104.3
2014-07-01,104.4
2014-08-01,104.5
2014-09-01,104.4
2014-10-01,104.6
2014-11-01,104.3
2014-12-01,104.1
2015-01-01,103.4
2015-02-01,103.3
2015-03-01,103.8
2015-04-01,104.2
2015-05-01,104.4
2015-06-01,104.4
2015-07-01,104.4
