Date,和服
2013-02-01,101.3
2013-03-01,101.3
2013-04-01,101.2
2013-05-01,101.5
2013-06-01,101.4
2013-07-01,101
2013-08-01,101.1
2013-09-01,101.2
2013-10-01,101.3
2013-11-01,101.3
2013-12-01,101.3
2014-01-01,101.2
2014-02-01,101.3
2014-03-01,101.4
2014-04-01,105.1
2014-05-01,104.8
2014-06-01,104.1
2014-07-01,104.2
2014-08-01,104.3
2014-09-01,104.4
2014-10-01,103.9
2014-11-01,104
2014-12-01,104
2015-01-01,103.8
2015-02-01,103.4
2015-03-01,103.5
2015-04-01,103.6
2015-05-01,103.5
2015-06-01,103.5
2015-07-01,103.5
